Model,Rolling Window,R2,MSE,MAE,Directional Accuracy,Directional Up,Directional Down
uni2ts_base,5,-0.4791195248028405,0.0016325745613008868,0.02316385927309293,0.49536219081272087,0.8443936526756807,0.14739597697297627
uni2ts_base,21,-0.30540101786274915,0.0014342969047402383,0.022189843322600905,0.49901060070671377,0.9828186370653519,0.01716990805322951
uni2ts_base,252,-0.2650776388092238,0.001367621926571472,0.02220168038100079,0.49873674911660776,0.998717204520275,0.0010748101423765596
uni2ts_base,512,-0.2544519138260815,0.0013540591629795013,0.02209475108977312,0.4990459363957597,0.9990752546119631,0.0013361908927681295
uni2ts_small,5,-0.48405230752024236,0.0016382423466079167,0.023175294450961014,0.4955830388692579,0.8452276871210986,0.1470125985454643
uni2ts_small,21,-0.3071572424160128,0.0014288879066074235,0.022185274350612936,0.49870141342756186,0.9826580429463754,0.01669172071833341
uni2ts_small,252,-0.26377301454395685,0.0013625062609709752,0.02218054769107346,0.4988604240282685,0.9986179145106235,0.001418714613460622
uni2ts_small,512,-0.2541659724356965,0.0013558242441289781,0.022100442054376824,0.4989487632508834,0.9988314509278338,0.0013843862365175998
