Model,Rolling Window,R2,MSE,MAE,Directional Accuracy,Directional Up,Directional Down
timefm,5,-0.27144350265603207,0.001344230343169239,0.021050536637839744,0.48918727915194343,0.5048854104858962,0.47382926091792704
timefm,21,-0.11669193083750001,0.001180645421817544,0.01946987806888395,0.49258833922261486,0.5184566410682385,0.46501277069551283
timefm,252,-0.04592506950250565,0.0011181606638503592,0.01860627792931925,0.4965459363957597,0.4862147953894963,0.5012583586832882
timefm,512,-0.03377262464477737,0.0011071674354429888,0.018518475317083376,0.4988515901060071,0.51800930668132,0.47283521082009755
