Model,Rolling Window,R2,MSE,MAE,Directional Accuracy,Directional Up,Directional Down
unit2ts,5,-0.5487361727607245,0.0016143919759976134,0.02310805013974687,0.49499469402193136,0.8451914032690294,0.14802864841866403
unit2ts,21,-0.3487562946892391,0.0014059343211705211,0.022149370079506736,0.4987177219667492,0.9828029886240616,0.01802935753793788
unit2ts,252,-0.2613492005155349,0.0013148217650353084,0.02215433784282914,0.49821365405022994,0.9995740678296982,0.00026591972769819883
unit2ts,512,-0.25882475183724063,0.00131219029702821,0.022140238765758755,0.4983286169083834,0.9996982980460362,0.0003722876187774784
