Model,Rolling Window,R2,MSE,MAE,Directional Accuracy,Directional Up,Directional Down
chronos_base,5,-0.8526940605224786,0.0022279469502592226,0.022575585088499436,0.4927208480565371,0.5679381917613392,0.4184853532449334
chronos_base,21,-0.39023442532438757,0.0022896463210426493,0.020063017416323638,0.4938515901060071,0.536038673059218,0.45014201275300114
chronos_base,252,-0.05499994543856797,0.0011328696722441678,0.018579136597604885,0.5009187279151943,0.3758633718123415,0.6222951400454904
chronos_base,512,-0.04178412606820748,0.0011177965325642476,0.018516943294794596,0.4998939929328622,0.31842680046033056,0.6791532419048574
chronos_small,5,-1.3224142639177305,0.0025550351555262297,0.023178417413886928,0.4722438162544169,0.44187791820403227,0.5030068490783585
chronos_small,21,-0.1660629314540967,0.001251696820899265,0.01932079363467828,0.4847173144876325,0.4451549632308204,0.5225254220874337
chronos_small,252,-0.02668626532584268,0.0010814003116272942,0.018495585785586993,0.49396643109540633,0.507383114600709,0.47271947858767455
chronos_small,512,-0.02486088826848149,0.001097113060450004,0.018467304032352205,0.4966342756183746,0.43888091526377826,0.5460969154016265
