Model,Rolling Window,PERMNO,R2,MSE,MAE,Directional Accuracy,Directional Up,Directional Down
chronos_t5,5,11174,-2.0928798307116674,0.0033297037112439173,0.02853530136198097,0.46863957597173145,0.43439716312056736,0.5026408450704225
chronos_t5,5,20512,-0.8924957036782128,0.0005646131420987466,0.01455958031655497,0.4730565371024735,0.47591362126245845,0.469811320754717
chronos_t5,5,29647,-1.2381411606341266,0.0003071408789520464,0.009339109852946737,0.47703180212014135,0.4641350210970464,0.4934823091247672
chronos_t5,5,39731,-1.1830558472362154,0.0038825686776502648,0.036364046785415355,0.43992932862190814,0.3828413284132841,0.49742268041237114
chronos_t5,5,40125,-1.7122368902353822,0.002832700497474287,0.02377909777324444,0.4668727915194346,0.4560204953031597,0.47937671860678277
chronos_t5,5,44644,-0.8121865399756689,0.0004254807781077948,0.012650097737600348,0.4726148409893993,0.483265306122449,0.4613899613899614
chronos_t5,5,44943,-1.2551618306559966,0.0014540198466893451,0.0237690007958888,0.4734982332155477,0.46140797285835455,0.48753462603878117
chronos_t5,5,45911,-0.9308350180782332,0.0011203523650053485,0.021550641611099625,0.4717314487632509,0.461734693877551,0.48253676470588236
chronos_t5,5,47466,-1.5063277951115852,0.0009409071423893509,0.016622115445474532,0.48586572438162545,0.45297670405522,0.5213055303717135
chronos_t5,5,47941,-2.6854544933542472,0.0017656605496108595,0.018909670772025076,0.4757067137809187,0.4363312555654497,0.520851818988465
chronos_t5,5,50286,-3.1806660743849324,0.007294795844887347,0.03532025296101619,0.44346289752650175,0.3409801876955162,0.5219737856592136
chronos_t5,5,55993,-1.2295234142513443,0.002154727051154995,0.02552526419756676,0.48144876325088337,0.4666666666666667,0.4991055456171735
chronos_t5,5,61241,-0.8415510340387078,0.0025409808510979135,0.03197618448713428,0.4571554770318021,0.41739130434782606,0.49910071942446044
chronos_t5,5,63773,-3.903571914893316,0.005577776088020545,0.023603382189258646,0.4743816254416961,0.45980985306828004,0.49049773755656106
chronos_t5,5,66093,-0.8705244045651392,0.0004026298030784537,0.012502719785334671,0.46775618374558303,0.45772843723313406,0.47882136279926335
chronos_t5,5,75104,-1.0401080948834482,0.0017254384630079084,0.02381728383101925,0.4620141342756184,0.4366696191319752,0.48851590106007065
chronos_t5,5,75320,-0.6100598967319795,0.0017623358279126623,0.02148009366511154,0.4721731448763251,0.455565142364107,0.4904805077062557
chronos_t5,5,76226,-0.8652983391624105,0.001681264984926264,0.023786324656079848,0.4752650176678445,0.4609375,0.4918772563176895
chronos_t5,5,78405,-1.4531695904538289,0.0004880623001064372,0.012014142926297202,0.4748233215547703,0.4648370497427101,0.4858447488584475
chronos_t5,5,78840,-1.2003875913651734,0.001359214315481786,0.02161295836050448,0.4708480565371025,0.46134020618556704,0.4822242479489517
chronos_t5,5,78971,-3.3709473117668525,0.0032646663202830052,0.023036565258392847,0.4871908127208481,0.43703703703703706,0.5397775876817793
chronos_t5,5,79033,-1.1915217835470324,0.001314955364870561,0.020764260174773876,0.4726148409893993,0.42764976958525347,0.5157715260017051
chronos_t5,5,79879,-1.1786481997833422,0.0010012813641096332,0.018590070301623754,0.4673144876325088,0.4279319606087735,0.5096830985915493
chronos_t5,5,80089,-1.423626895067207,0.0019199608871175323,0.02418058639758358,0.495583038869258,0.42952380952380953,0.5550952775476388
chronos_t5,5,80924,-0.6372915907924459,0.0008838674452548833,0.017823475529679982,0.45185512367491165,0.4307553956834532,0.4787234042553192
chronos_t5,5,81043,-2.08356312123953,0.001244343804313361,0.017666747179841357,0.4902826855123675,0.4554367201426025,0.5272887323943662
chronos_t5,5,81132,-0.9540539097615597,0.0013583236990099739,0.02448892128926578,0.46819787985865724,0.4652137468566639,0.4724041159962582
chronos_t5,5,81133,-0.9319080283646577,0.0016709600668392342,0.02616653987854953,0.48144876325088337,0.4360146252285192,0.5298701298701298
chronos_t5,5,81740,-1.7624027330714847,0.0029334910827767797,0.027705260495851945,0.49381625441696114,0.4407239819004525,0.5449050086355786
chronos_t5,5,82281,-3.095930573192038,0.012686398748432408,0.043627500996556,0.4673144876325088,0.36218905472636814,0.5587761674718197
chronos_t5,5,82646,-0.715821252210828,0.0005127024584208198,0.01524014646130405,0.46908127208480566,0.4456140350877193,0.49508489722966936
chronos_t5,5,82924,-1.33954064356656,0.0009101433453184214,0.017145609721867294,0.4704063604240283,0.46382978723404256,0.4801477377654663
chronos_t5,5,82932,-1.1539838378817828,0.0009281835394980764,0.017407980550979172,0.4840989399293286,0.4635593220338983,0.5069252077562327
chronos_t5,5,83604,-0.7819828694641164,0.0004133435690497009,0.013753069779382083,0.4668727915194346,0.4336283185840708,0.5022143489813995
chronos_t5,5,83989,-1.030849588739048,0.0022502714949387916,0.027821873821391677,0.4880742049469965,0.4288389513108614,0.5450716090985678
chronos_t5,5,84176,-0.7955506859326351,0.002756491797591662,0.031167500192373597,0.48630742049469966,0.4594835262689225,0.5158730158730159
chronos_t5,5,85177,-1.1936368670775237,0.003265096624294143,0.03187888647200545,0.4730565371024735,0.43733092876465285,0.5095652173913043
chronos_t5,5,85442,-0.982007434156972,0.000835447938714059,0.01861158298385059,0.4801236749116608,0.46271186440677964,0.4995383194829178
chronos_t5,5,86047,-0.7629323881496104,0.0018004807734250722,0.027095289243837927,0.4664310954063604,0.4381533101045296,0.49864743011722273
chronos_t5,5,86051,-0.8818573811387338,0.0037472023259087265,0.03777585809385375,0.4615724381625442,0.4001865671641791,0.5194915254237288
