date,mktrf,rf
2016-08-19,-0.001100,0.00001
2016-08-22,-0.000200,0.00001
2016-08-23,0.002600,0.00001
2016-08-24,-0.005500,0.00001
2016-08-25,-0.000800,0.00001
2016-08-26,-0.001500,0.00001
2016-08-29,0.005300,0.00001
2016-08-30,-0.001400,0.00001
2016-08-31,-0.002400,0.00001
2016-09-01,0.000300,0.00001
2016-09-02,0.005300,0.00001
2016-09-06,0.002700,0.00001
2016-09-07,0.000900,0.00001
2016-09-08,-0.001800,0.00001
2016-09-09,-0.024600,0.00001
2016-09-12,0.014400,0.00001
2016-09-13,-0.014800,0.00001
2016-09-14,-0.000800,0.00001
2016-09-15,0.010800,0.00001
2016-09-16,-0.003600,0.00001
2016-09-19,0.000500,0.00001
2016-09-20,-0.000200,0.00001
2016-09-21,0.011200,0.00001
2016-09-22,0.007000,0.00001
2016-09-23,-0.006000,0.00001
2016-09-26,-0.008800,0.00001
2016-09-27,0.006400,0.00001
2016-09-28,0.005600,0.00001
2016-09-29,-0.009800,0.00001
2016-09-30,0.008800,0.00001
2016-10-03,-0.002700,0.00001
2016-10-04,-0.004500,0.00001
2016-10-05,0.005800,0.00001
2016-10-06,-0.000600,0.00001
2016-10-07,-0.003800,0.00001
2016-10-10,0.005200,0.00001
2016-10-11,-0.013000,0.00001
2016-10-12,0.000600,0.00001
2016-10-13,-0.004100,0.00001
2016-10-14,0.000100,0.00001
2016-10-17,-0.002900,0.00001
2016-10-18,0.006000,0.00001
2016-10-19,0.002400,0.00001
2016-10-20,-0.001600,0.00001
2016-10-21,0.000200,0.00001
2016-10-24,0.005400,0.00001
2016-10-25,-0.004600,0.00001
2016-10-26,-0.002300,0.00001
2016-10-27,-0.003200,0.00001
2016-10-28,-0.002900,0.00001
2016-10-31,0.000200,0.00001
2016-11-01,-0.006800,0.00001
2016-11-02,-0.007300,0.00001
2016-11-03,-0.004000,0.00001
2016-11-04,-0.001200,0.00001
2016-11-07,0.022400,0.00001
2016-11-08,0.004100,0.00001
2016-11-09,0.014500,0.00001
2016-11-10,0.003300,0.00001
2016-11-11,0.001800,0.00001
2016-11-14,0.002000,0.00001
2016-11-15,0.008000,0.00001
2016-11-16,-0.001200,0.00001
2016-11-17,0.005600,0.00001
2016-11-18,-0.001600,0.00001
2016-11-21,0.007700,0.00001
2016-11-22,0.003100,0.00001
2016-11-23,0.001600,0.00001
2016-11-25,0.004000,0.00001
2016-11-28,-0.006400,0.00001
2016-11-29,0.001200,0.00001
2016-11-30,-0.002500,0.00001
2016-12-01,-0.003600,0.00001
2016-12-02,0.000000,0.00001
2016-12-05,0.007500,0.00001
2016-12-06,0.004800,0.00001
2016-12-07,0.012600,0.00001
2016-12-08,0.003600,0.00001
