Model,Strategy,Rolling Window,Final Cumulative Return
unit2ts,LONG_SHORT,512,1.0958401872661816
NN3,LONG_SHORT,512,1.025277209010901
NN2,LONG_SHORT,512,0.999005133842297
timefm,LONG_SHORT,512,0.6390081084964402
unit2ts,SHORT_ONLY,5,5.009691372321812e-10
timefm,SHORT_ONLY,5,1.7663086089892242e-13
OLS,SHORT_ONLY,5,9.900416524620935e-14
Ridge,SHORT_ONLY,5,9.900416524620935e-14
PLS,SHORT_ONLY,5,9.900416524620935e-14
PCR,SHORT_ONLY,5,9.900416524620935e-14
Lasso,SHORT_ONLY,5,9.265723948144253e-14
NN2,SHORT_ONLY,5,8.371034997362856e-14
chronos_t5,SHORT_ONLY,5,1.1235927483508124e-15
NN1,SHORT_ONLY,5,4.826975131767054e-16
NN4,SHORT_ONLY,5,1.878069840411735e-16
RF,SHORT_ONLY,5,1.7546211843539548e-16
NN3,SHORT_ONLY,5,1.3223706781104844e-16
NN5,SHORT_ONLY,5,1.1064234151523103e-17
unit2ts,SHORT_ONLY,21,7.366144810327544e-09
timefm,SHORT_ONLY,21,7.714996846073323e-12
OLS,SHORT_ONLY,21,1.4563525892687726e-13
Ridge,SHORT_ONLY,21,1.4563525892687726e-13
PLS,SHORT_ONLY,21,1.4563525892687726e-13
Lasso,SHORT_ONLY,21,1.3816671486561922e-13
chronos_t5,SHORT_ONLY,21,2.731586263766003e-14
PCR,SHORT_ONLY,21,1.643774616756046e-14
NN4,SHORT_ONLY,21,6.496586529561571e-15
NN3,SHORT_ONLY,21,9.185868148873932e-16
NN1,SHORT_ONLY,21,4.793093568130629e-16
NN5,SHORT_ONLY,21,4.1227346880665763e-16
RF,SHORT_ONLY,21,1.8972540991657415e-16
NN2,SHORT_ONLY,21,1.6744204611864284e-16
timefm,SHORT_ONLY,252,8.989494458614504e-10
unit2ts,SHORT_ONLY,252,5.006371085879506e-10
chronos_t5,SHORT_ONLY,252,1.853401970562869e-13
OLS,SHORT_ONLY,252,1.4025751853472845e-13
Ridge,SHORT_ONLY,252,1.4025751853472845e-13
PLS,SHORT_ONLY,252,1.4025751853472845e-13
Lasso,SHORT_ONLY,252,1.3837112705801553e-13
NN5,SHORT_ONLY,252,4.942439049963469e-14
PCR,SHORT_ONLY,252,1.3706142717080828e-14
