date,OLS,Ridge,Lasso,PLS,PCR,RF,NN1,NN2,NN3,NN4,NN5,chronos_t5,unit2ts,timefm
2016-01-04,1.01242164,1.01242164,1.01242164,1.01242164,1.0130108,1.01217956,1.00925532,1.01051756,1.01004276,1.01088492,1.01772288,1.01144256,1.01035212,1.00654712
2016-01-05,1.0141133155667088,1.0141133155667088,1.0141133155667088,1.0141133155667088,1.012949776229408,1.0117818139201025,1.0101677675497056,1.0082836290404593,1.012197787232736,1.013197622519976,1.022180750467891,1.0114485881976576,1.0044592210530576,1.007441537770832
2016-01-06,1.0211851739260145,1.0211851739260145,1.0211851739260145,1.0211851739260145,1.0221110560775908,1.0168604324994381,1.0197222575488765,1.0170940920537053,1.0160563661734903,1.0229807345397897,1.0247992504527494,1.0166734888566253,1.0133873769285722,1.0118845967383703
2016-01-07,1.0354579523227228,1.0354579523227228,1.0354579523227228,1.0354579523227228,1.039614462606266,1.0294421279795882,1.036049356925614,1.028126348935157,1.0263447903683445,1.0341288921501985,1.034877290249582,1.0299496179435108,1.0308666066897967,1.0260589547433299
2016-01-08,1.0396125202648272,1.0396125202648272,1.0396125202648272,1.0396125202648272,1.0470834063745467,1.034128292668049,1.040576001612932,1.029225189814372,1.031422918595233,1.038940094090616,1.0390532891838344,1.0386586041259405,1.0338354406650667,1.0338387184288056
2016-01-11,1.0425407552661563,1.0425407552661563,1.0425407552661563,1.0425407552661563,1.044406830829504,1.0336733796321043,1.0432704899230285,1.033371258815509,1.031561975033118,1.0415615269572236,1.040073909667668,1.0378448151096078,1.0287161977135255,1.032690681885539
2016-01-12,1.0388947400352093,1.0388947400352093,1.0388947400352093,1.0388947400352093,1.042218046545998,1.0315908172006918,1.0364747928749483,1.0310497696151548,1.0247360881818448,1.0326934221419433,1.037041262161859,1.034537037628683,1.0286779294709707,1.0279870236753141
2016-01-13,1.057586700421081,1.057586700421081,1.0579250061042262,1.057586700421081,1.0606102768570047,1.0435705163063127,1.04996969467818,1.0481474617347288,1.0366012614102411,1.0458879394579663,1.0554689461290188,1.0482655924069046,1.0423920578910917,1.0438017816449399
2016-01-14,1.0472728822495005,1.0472728822495005,1.0476078887011966,1.0472728822495005,1.0505965673524704,1.0296583229394576,1.034113241343695,1.037061604327996,1.017602122510736,1.0311667947792311,1.0399885730805547,1.0426281248774996,1.0265524727667723,1.034388881558244
2016-01-15,1.05918942335838,1.05918942335838,1.0595282417278875,1.05918942335838,1.064494405055624,1.0452002739702362,1.040271716612134,1.055861000784148,1.0331811225573564,1.0452855717800202,1.0544119250033515,1.0574002052661389,1.0375282896813969,1.0518932239675252
2016-01-19,1.0600953904397554,1.0600953904397554,1.0612029532573273,1.0600953904397554,1.067068884774251,1.043982887403132,1.0426152615407522,1.050175970632066,1.0332666492906817,1.047267955866901,1.0525838066960191,1.0600663975877094,1.034411450946365,1.0540718841751422
2016-01-20,1.0612757642531945,1.0612757642531945,1.0623845602976612,1.0612757642531945,1.0682471208954412,1.047783423586092,1.043440866861756,1.0542922613700747,1.0341516008451332,1.0468521276523444,1.0577275942942574,1.0641526355304907,1.0431155474768112,1.0620602101122387
2016-01-21,1.0630087851251895,1.0630087851251895,1.0641193917892449,1.0630087851251895,1.068988868966306,1.0510371683183595,1.042437076747835,1.0492298873044992,1.0297174897092216,1.0427185692151815,1.0547833460718836,1.0545792630246258,1.0466571751082263,1.054518860419499
2016-01-22,1.0466367277600297,1.0466367277600297,1.0477302292822759,1.0466367277600297,1.0549986481819287,1.0373588655061474,1.024098711332361,1.0279140057137917,1.0188707545878717,1.0299952129617609,1.041565792675256,1.0369053793313288,1.0297109371843405,1.0358881484530376
2016-01-25,1.0579759482031128,1.0579759482031128,1.058804570168953,1.0579759482031128,1.0631254293687118,1.0462794048511173,1.0381899409247581,1.03967202620923,1.028567918126907,1.0416155365547786,1.051709643592752,1.0425341994449213,1.0374491325004058,1.0439987797356913
2016-01-26,1.0506781993885594,1.0506781993885594,1.0515011056526589,1.0506781993885594,1.0555818315220487,1.0373597473712328,1.0315910810774476,1.0277113481115516,1.0194197939203695,1.0369083092866016,1.0410576759121302,1.0315596504342046,1.031461308091336,1.0360972958512373
2016-01-27,1.0553171958016276,1.0553171958016276,1.0561437353943806,1.0553171958016276,1.0594998134944724,1.0368666695361124,1.0415578602027422,1.0303981144431467,1.022759494718836,1.0389810475205332,1.0414286255832113,1.0335595144973084,1.0346778582929403,1.0381752511439046
2016-01-28,1.0641859970897687,1.0641859970897687,1.065019482855136,1.0641859970897687,1.068202078782598,1.0430312566331725,1.0491688567857589,1.0309490889229018,1.0290223829399368,1.05037422277295,1.0566516460319564,1.0402767831515487,1.0270907311065356,1.038831087213557
2016-01-29,1.0514927057722812,1.0514927057722812,1.052316249969485,1.0514927057722812,1.055071204729163,1.0293002299339749,1.0305976237686798,1.0154093664967674,1.0155398229719428,1.028773171844202,1.039053979321644,1.0230217329549496,1.0073390984674744,1.0194338461635097
2016-02-01,1.053303186942934,1.053303186942934,1.0541281491350074,1.053303186942934,1.0543613739240454,1.0238335546547817,1.0310162731354071,1.0159611602547092,1.0128366387603596,1.0273069025932993,1.0425541573374666,1.0253316137257886,1.007877742830207,1.017378198590075
2016-02-02,1.0629941450465297,1.0629941450465297,1.06382669733625,1.0629941450465297,1.0640996453586553,1.0299844804544234,1.0437257550766255,1.033605499959415,1.021924761149758,1.0398136039252646,1.0523486825815713,1.0332766418143302,1.0167226763257364,1.0276655403305024
