date,OLS,Ridge,Lasso,PLS,PCR,RF,NN1,NN2,NN3,NN4,NN5,Chronos Small,Chronos Base,Uni2Ts Base,Uni2Ts Small,TimeFm
2016-01-04,1.0139265,1.0139265,1.0139265,1.0139265,1.0147499,1.0154125,1.010077,1.0042197,1.0074653,1.0085182,1.0221782,1.0151139,1.0211007,1.0088937,1.0167946,1.0126139
2016-01-05,1.0133927690903999,1.0133927690903999,1.0133927690903999,1.0133927690903999,1.0204800912103098,1.0158311545737502,1.0068692984710998,1.02042820764588,1.01378492833384,1.0147291593346999,1.0441687284878798,1.01610109826775,1.03861472131647,1.0105375913947798,1.02151771259646,1.01931254347128
2016-01-06,1.0201393301113422,1.0201393301113422,1.0201393301113422,1.0201393301113422,1.0296222662034356,1.0150671479623952,1.0195882728232466,1.034872981182032,1.025529221214616,1.0246863921565035,1.0494894990776356,1.0213065841941757,1.0326679250066284,1.0253248890234188,1.0294949487176683,1.0120825596004381
2016-01-07,1.0486271289604334,1.0486271289604334,1.0486271289604334,1.0486271289604334,1.0564269374706428,1.0314567266535404,1.0417586080628245,1.0644123955568918,1.0551785016349962,1.0428148364006187,1.0647383716013339,1.057082545315864,1.070149640012669,1.0500937649000464,1.0520935982359596,1.0478365013916988
2016-01-08,1.0666204170035527,1.0666204170035527,1.0666204170035527,1.0666204170035527,1.0727759894695508,1.049630065866122,1.041489000935058,1.073530897225909,1.069419190693062,1.0543145812905101,1.0743233593701635,1.0796567544875932,1.0878644690935828,1.0610405723616232,1.0624782880973476,1.0768003788285676
2016-01-11,1.0615027722427697,1.0615027722427697,1.0615027722427697,1.0615027722427697,1.067189723059586,1.055107875253864,1.0421958595199925,1.0637566131128464,1.06283990994808,1.0504357579459425,1.0707289957067188,1.090040461289553,1.0863548395698217,1.0524116599068922,1.0556836331971362,1.064301310751277
2016-01-12,1.0558400795539635,1.0558400795539635,1.0558400795539635,1.0558400795539635,1.0615482380265762,1.045933184724594,1.0279032897221214,1.064180200996188,1.0586271313970188,1.03247372665937,1.068276812160751,1.0865057870857293,1.0858290438274698,1.0474168089278082,1.0521302020877947,1.0604074579757625
2016-01-13,1.0866722992210665,1.0866722992210665,1.0866722992210665,1.0866722992210665,1.0932644331985677,1.066719014904626,1.0498227106334717,1.093624364469431,1.0887084447865178,1.0647605223078531,1.1099981494043267,1.1138415121347554,1.1204204082595859,1.071984808114657,1.0815185133185514,1.086159877255687
2016-01-14,1.0791746950253607,1.0791746950253607,1.0791746950253607,1.0791746950253607,1.0946392132233147,1.0424204358079165,1.039323118757613,1.0818738081229529,1.0766725551877139,1.0443795152461497,1.073763147815542,1.1011187688465474,1.1146723154390916,1.0537756453700982,1.057845262732373,1.0834557736252712
2016-01-15,1.1022285644478398,1.1022285644478398,1.1022285644478398,1.1022285644478398,1.1289846131774095,1.0682494251243215,1.0644622663541223,1.1150698076766359,1.1066486264657172,1.0755524683310713,1.1035653366068476,1.1357354103659143,1.1376869547359627,1.0698088418144043,1.0747162021205339,1.1171677167127763
2016-01-19,1.104986560761801,1.104986560761801,1.104986560761801,1.104986560761801,1.128456474175365,1.0793178778928623,1.0643190961792977,1.1150633402717514,1.104194743801392,1.0990123112150618,1.1228462783853743,1.1498407898684948,1.1655586923652572,1.0685514954826199,1.0760154265372774,1.136987165741434
2016-01-20,1.109938226537887,1.109938226537887,1.109938226537887,1.109938226537887,1.127729183977759,1.0894289277729627,1.0686352294100336,1.116867066730975,1.1179240804068695,1.1048141071071973,1.1294871281296288,1.1656803066852495,1.1750506526882722,1.0827098027977646,1.0875082397065796,1.149157590062247
2016-01-21,1.101060607620569,1.101060607620569,1.101060607620569,1.101060607620569,1.1114762382053531,1.0839375523196304,1.05849088890429,1.0968550426292893,1.1172809386834115,1.0880208221977572,1.1104100905355194,1.1478838654430856,1.138030094350002,1.0723424233520549,1.0865963640475857,1.112842486479895
2016-01-22,1.0781403794820352,1.0781403794820352,1.0781403794820352,1.0781403794820352,1.088865254796294,1.0603778444386975,1.0322200976834857,1.064760076912418,1.1018252562743223,1.0529064733904756,1.0971861057263228,1.1355588068030502,1.1055197610386864,1.0437730765091093,1.0593004114248918,1.0917507828336415
2016-01-25,1.1068215011131681,1.1068215011131681,1.1068215011131681,1.1068215011131681,1.1198403135860096,1.075864450781156,1.0511495691668642,1.0813228458128212,1.1245672601114012,1.0692229438460186,1.1122062543578846,1.1452356982869838,1.1204270317044365,1.0607686247592918,1.0768158377977612,1.1153166601814186
2016-01-26,1.0932259698863946,1.0932259698863946,1.0932259698863946,1.0932259698863946,1.1076018027668908,1.0578569543633163,1.0458473605100727,1.0659138871277039,1.1001460450340959,1.0620308157142384,1.0950736067745048,1.1302005859455928,1.105958173145115,1.04036187618676,1.0574619037002708,1.1036797807440837
2016-01-27,1.0995476583798598,1.0995476583798598,1.0995476583798598,1.0995476583798598,1.1200503609485484,1.0475506771997363,1.0610731201385866,1.0757141125887335,1.106141730964927,1.0691702116697956,1.0975217533298098,1.115917223960471,1.1042837524709732,1.0423433494161451,1.0649882830536672,1.1025832748819144
2016-01-28,1.1271239837877292,1.1271239837877292,1.1271239837877292,1.1271239837877292,1.1288087067510215,1.0478465055109774,1.0657561663543182,1.0720030064717136,1.134156982585076,1.0753813421804488,1.1341494565558607,1.1189642359404952,1.1033030380704039,1.040663300405556,1.0673763062807584,1.0935289712869116
