Model,Strategy,Rolling Window,Final Cumulative Return
PCR,SHORT_ONLY,5,0.27335775302709237
Lasso,SHORT_ONLY,5,0.2559557477042546
NN1,SHORT_ONLY,5,0.23854660961117316
RF,SHORT_ONLY,5,0.13347084068248613
NN4,SHORT_ONLY,5,0.0876369558644143
NN3,SHORT_ONLY,5,0.0864118405197806
NN2,SHORT_ONLY,5,0.08362996211810984
unit2ts,SHORT_ONLY,5,0.07807245040714869
NN5,SHORT_ONLY,5,0.05596864125859698
chronos_t5,SHORT_ONLY,5,0.03869131215171802
timefm,SHORT_ONLY,5,0.019033925687619867
OLS,SHORT_ONLY,21,0.26227233254139604
Ridge,SHORT_ONLY,21,0.26227233254139604
PLS,SHORT_ONLY,21,0.26227233254139604
Lasso,SHORT_ONLY,21,0.2555912942476995
PCR,SHORT_ONLY,21,0.23913567066109012
unit2ts,SHORT_ONLY,21,0.14093376574090122
NN5,SHORT_ONLY,21,0.10969627564364555
NN2,SHORT_ONLY,21,0.0986351068447529
RF,SHORT_ONLY,21,0.08921908753858539
NN4,SHORT_ONLY,21,0.08170918709258183
NN1,SHORT_ONLY,21,0.07144900016375508
NN3,SHORT_ONLY,21,0.04152932855880015
chronos_t5,SHORT_ONLY,21,0.02117846082596508
timefm,SHORT_ONLY,21,0.01640182873355629
NN4,SHORT_ONLY,252,0.516758553972056
OLS,SHORT_ONLY,252,0.5104073114599528
Ridge,SHORT_ONLY,252,0.5104073114599528
PLS,SHORT_ONLY,252,0.5104073114599528
Lasso,SHORT_ONLY,252,0.5065997817477497
unit2ts,SHORT_ONLY,252,0.3877649811238349
RF,SHORT_ONLY,252,0.3360927430861343
PCR,SHORT_ONLY,252,0.24393474044242436
NN1,SHORT_ONLY,252,0.1590158272827658
NN2,SHORT_ONLY,252,0.10933421965359022
NN5,SHORT_ONLY,252,0.09472295592816776
NN3,SHORT_ONLY,252,0.08500077684895467
chronos_t5,SHORT_ONLY,252,0.06900267134458188
timefm,SHORT_ONLY,252,0.03777575088005646
Lasso,SHORT_ONLY,512,0.764184818046556
OLS,SHORT_ONLY,512,0.7176262378540256
Ridge,SHORT_ONLY,512,0.7176262378540256
PLS,SHORT_ONLY,512,0.7176262378540256
PCR,SHORT_ONLY,512,0.5352199546773789
NN1,SHORT_ONLY,512,0.49208559232937804
unit2ts,SHORT_ONLY,512,0.3709411714453632
NN4,SHORT_ONLY,512,0.3391774544560059
chronos_t5,SHORT_ONLY,512,0.27045290424234186
RF,SHORT_ONLY,512,0.21617707177087805
NN3,SHORT_ONLY,512,0.15073361591843495
NN2,SHORT_ONLY,512,0.14614707305843358
NN5,SHORT_ONLY,512,0.13924082030242432
timefm,SHORT_ONLY,512,0.035215696728155055
Lasso,TOP_MINUS_REST,5,1.1202641953720145
OLS,TOP_MINUS_REST,5,1.103038824296236
Ridge,TOP_MINUS_REST,5,1.103038824296236
PLS,TOP_MINUS_REST,5,1.103038824296236
PCR,TOP_MINUS_REST,5,1.103038824296236
NN1,TOP_MINUS_REST,5,0.8266788987572593
NN4,TOP_MINUS_REST,5,0.5008044793173781
NN2,TOP_MINUS_REST,5,0.4817725420989623
RF,TOP_MINUS_REST,5,0.42966815291575405
NN3,TOP_MINUS_REST,5,0.3683909776690807
unit2ts,TOP_MINUS_REST,5,0.33380642552122464
NN5,TOP_MINUS_REST,5,0.32475132891946235
chronos_t5,TOP_MINUS_REST,5,0.28777210219387583
timefm,TOP_MINUS_REST,5,0.24683712270341593
PCR,TOP_MINUS_REST,21,1.0087432014465807
Lasso,TOP_MINUS_REST,21,0.8907256818097128
OLS,TOP_MINUS_REST,21,0.839847503138593
Ridge,TOP_MINUS_REST,21,0.839847503138593
PLS,TOP_MINUS_REST,21,0.839847503138593
NN2,TOP_MINUS_REST,21,0.5483329648327423
RF,TOP_MINUS_REST,21,0.5087973189099536
unit2ts,TOP_MINUS_REST,21,0.47950188351139184
NN4,TOP_MINUS_REST,21,0.47273264049281155
NN5,TOP_MINUS_REST,21,0.45602276050345614
NN1,TOP_MINUS_REST,21,0.41339148620166094
chronos_t5,TOP_MINUS_REST,21,0.3631113689150705
NN3,TOP_MINUS_REST,21,0.33847642433309244
timefm,TOP_MINUS_REST,21,0.23507405895614222
Lasso,TOP_MINUS_REST,252,1.1933196900801772
OLS,TOP_MINUS_REST,252,1.1835528679501814
Ridge,TOP_MINUS_REST,252,1.1835528679501814
PLS,TOP_MINUS_REST,252,1.1835528679501814
NN4,TOP_MINUS_REST,252,0.8807635413410295
PCR,TOP_MINUS_REST,252,0.8770623838768613
unit2ts,TOP_MINUS_REST,252,0.7406293964813242
RF,TOP_MINUS_REST,252,0.7270885179829989
