Model,Strategy,Rolling Window,Final Cumulative Return
PLS,SHORT_ONLY,5,0.08843981342311909
PCR,SHORT_ONLY,5,0.08843981342311909
Lasso,SHORT_ONLY,5,0.08283683795278016
NN1,SHORT_ONLY,5,0.06394958952748503
unit2ts,SHORT_ONLY,5,0.05340216844120838
RF,SHORT_ONLY,5,0.03536626721361692
NN2,SHORT_ONLY,5,0.02833499918281572
NN4,SHORT_ONLY,5,0.023819972068682006
NN3,SHORT_ONLY,5,0.023036639291105842
NN5,SHORT_ONLY,5,0.013961170457545701
chronos_t5,SHORT_ONLY,5,0.011687219535959652
timefm,SHORT_ONLY,5,0.0071005812685388135
unit2ts,SHORT_ONLY,21,0.15565064821371077
OLS,SHORT_ONLY,21,0.08611740557700924
Ridge,SHORT_ONLY,21,0.08611740557700924
PLS,SHORT_ONLY,21,0.08611740557700924
Lasso,SHORT_ONLY,21,0.08385318144067172
PCR,SHORT_ONLY,21,0.07287778810016746
NN5,SHORT_ONLY,21,0.0302290482172231
NN2,SHORT_ONLY,21,0.02653875062067166
NN4,SHORT_ONLY,21,0.025291724213771422
RF,SHORT_ONLY,21,0.02404570597540168
NN1,SHORT_ONLY,21,0.020228033737444615
NN3,SHORT_ONLY,21,0.012251692706035131
chronos_t5,SHORT_ONLY,21,0.007305961239813086
timefm,SHORT_ONLY,21,0.007042149308375763
unit2ts,SHORT_ONLY,252,0.2602707518914071
OLS,SHORT_ONLY,252,0.1621227847895366
Ridge,SHORT_ONLY,252,0.1621227847895366
PLS,SHORT_ONLY,252,0.1621227847895366
Lasso,SHORT_ONLY,252,0.16090061792949711
NN4,SHORT_ONLY,252,0.14696130637225926
RF,SHORT_ONLY,252,0.09095200082646387
PCR,SHORT_ONLY,252,0.0735948891493783
NN1,SHORT_ONLY,252,0.039661465021912624
NN2,SHORT_ONLY,252,0.031475635364584774
NN5,SHORT_ONLY,252,0.031277385217368794
chronos_t5,SHORT_ONLY,252,0.024272727818551575
NN3,SHORT_ONLY,252,0.022916216296583997
timefm,SHORT_ONLY,252,0.01860253705986734
Lasso,SHORT_ONLY,512,0.23301856341706198
OLS,SHORT_ONLY,512,0.21844725348310431
Ridge,SHORT_ONLY,512,0.21844725348310431
PLS,SHORT_ONLY,512,0.21844725348310431
unit2ts,SHORT_ONLY,512,0.16777682866893862
PCR,SHORT_ONLY,512,0.16099949982672526
NN1,SHORT_ONLY,512,0.1308081754102706
chronos_t5,SHORT_ONLY,512,0.09469783429369821
NN4,SHORT_ONLY,512,0.09382427599596745
RF,SHORT_ONLY,512,0.058281012777283245
NN2,SHORT_ONLY,512,0.0447750925441505
NN5,SHORT_ONLY,512,0.04130462278504035
NN3,SHORT_ONLY,512,0.03900127357309299
timefm,SHORT_ONLY,512,0.01760901222068276
unit2ts,TOP_MINUS_REST,5,0.060925179317935445
Lasso,TOP_MINUS_REST,5,0.05858246732618051
OLS,TOP_MINUS_REST,5,0.05772776616684366
Ridge,TOP_MINUS_REST,5,0.05772776616684366
PLS,TOP_MINUS_REST,5,0.05772776616684366
PCR,TOP_MINUS_REST,5,0.05772776616684366
NN2,TOP_MINUS_REST,5,0.04195228530646494
NN1,TOP_MINUS_REST,5,0.038647151831584126
NN4,TOP_MINUS_REST,5,0.02452570231731608
timefm,TOP_MINUS_REST,5,0.021420928333033776
RF,TOP_MINUS_REST,5,0.017574863124632512
NN5,TOP_MINUS_REST,5,0.015202546122305623
NN3,TOP_MINUS_REST,5,0.014652965890401819
chronos_t5,TOP_MINUS_REST,5,0.014578853713107416
unit2ts,TOP_MINUS_REST,21,0.1067342725001244
Lasso,TOP_MINUS_REST,21,0.05028910620231927
OLS,TOP_MINUS_REST,21,0.04745866107818965
Ridge,TOP_MINUS_REST,21,0.04745866107818965
PLS,TOP_MINUS_REST,21,0.04745866107818965
PCR,TOP_MINUS_REST,21,0.0469845863667433
timefm,TOP_MINUS_REST,21,0.026189481740926848
NN4,TOP_MINUS_REST,21,0.025498547519173916
