date,OLS,Ridge,Lasso,PLS,PCR,RF,NN1,NN2,NN3,NN4,NN5,chronos_t5,unit2ts,timefm
2016-01-04,1.01242164,1.01242164,1.01242164,1.01242164,1.0130108,1.01217956,1.00925532,1.01051756,1.01004276,1.01088492,1.01772288,1.01144256,1.00640452,1.00654712
2016-01-05,1.0141133155667088,1.0141133155667088,1.0141133155667088,1.0141133155667088,1.012949776229408,1.0117818139201025,1.0101677675497056,1.0082836290404593,1.012197787232736,1.013197622519976,1.022180750467891,1.0114485881976576,1.0019877326111664,1.007441537770832
2016-01-06,1.0211851739260145,1.0211851739260145,1.0211851739260145,1.0211851739260145,1.0221110560775908,1.0168604324994381,1.0197222575488765,1.0170940920537053,1.0160563661734903,1.0229807345397897,1.0247992504527494,1.0166734888566253,1.0106580526999787,1.0118845967383703
2016-01-07,1.0354579523227228,1.0354579523227228,1.0354579523227228,1.0354579523227228,1.039614462606266,1.0294421279795882,1.036049356925614,1.028126348935157,1.0263447903683445,1.0341288921501985,1.034877290249582,1.0299496179435108,1.0207780951922405,1.0260589547433299
2016-01-08,1.0396125202648272,1.0396125202648272,1.0396125202648272,1.0396125202648272,1.0470834063745467,1.034128292668049,1.040576001612932,1.029225189814372,1.031422918595233,1.038940094090616,1.0390532891838344,1.0386586041259405,1.0232292896322257,1.0338387184288056
2016-01-11,1.0425407552661563,1.0425407552661563,1.0425407552661563,1.0425407552661563,1.044406830829504,1.0336733796321043,1.0432704899230285,1.033371258815509,1.031561975033118,1.0415615269572236,1.040073909667668,1.0378448151096078,1.021786065648371,1.032690681885539
2016-01-12,1.0388947400352093,1.0388947400352093,1.0388947400352093,1.0388947400352093,1.042218046545998,1.0315908172006918,1.0364747928749483,1.0310497696151548,1.0247360881818448,1.0326934221419433,1.037041262161859,1.034537037628683,1.019935365854826,1.0279870236753141
2016-01-13,1.057586700421081,1.057586700421081,1.0579250061042262,1.057586700421081,1.0606102768570047,1.0435705163063127,1.04996969467818,1.0481474617347288,1.0366012614102411,1.0458879394579663,1.0554689461290188,1.0482655924069046,1.0346900364391842,1.0438017816449399
2016-01-14,1.0472728822495005,1.0472728822495005,1.0476078887011966,1.0472728822495005,1.0505965673524704,1.0296583229394576,1.034113241343695,1.037061604327996,1.017602122510736,1.0311667947792311,1.0399885730805547,1.0426281248774996,1.0192101008854197,1.034388881558244
2016-01-15,1.05918942335838,1.05918942335838,1.0595282417278875,1.05918942335838,1.064494405055624,1.0452002739702362,1.040271716612134,1.055861000784148,1.0331811225573564,1.0452855717800202,1.0544119250033515,1.0574002052661389,1.0292668915612804,1.0518932239675252
2016-01-19,1.0600953904397554,1.0600953904397554,1.0612029532573273,1.0600953904397554,1.067068884774251,1.043982887403132,1.0426152615407522,1.050175970632066,1.0332666492906817,1.047267955866901,1.0525838066960191,1.0600663975877094,1.0220664079973094,1.0540718841751422
2016-01-20,1.0612757642531945,1.0612757642531945,1.0623845602976612,1.0612757642531945,1.0682471208954412,1.047783423586092,1.043440866861756,1.0542922613700747,1.0341516008451332,1.0468521276523444,1.0577275942942574,1.0641526355304907,1.0292192579883659,1.0620602101122387
2016-01-21,1.0630087851251895,1.0630087851251895,1.0641193917892449,1.0630087851251895,1.068988868966306,1.0510371683183595,1.042437076747835,1.0492298873044992,1.0297174897092216,1.0427185692151815,1.0547833460718836,1.0545792630246258,1.029899160230193,1.054518860419499
2016-01-22,1.0466367277600297,1.0466367277600297,1.0477302292822759,1.0466367277600297,1.0549986481819287,1.0373588655061474,1.024098711332361,1.0279140057137917,1.0188707545878717,1.0299952129617609,1.041565792675256,1.0369053793313288,1.0143416888976045,1.0358881484530376
2016-01-25,1.0579759482031128,1.0579759482031128,1.058804570168953,1.0579759482031128,1.0631254293687118,1.0462794048511173,1.0381899409247581,1.03967202620923,1.028567918126907,1.0416155365547786,1.051709643592752,1.0425341994449213,1.021797546621345,1.0439987797356913
2016-01-26,1.0506781993885594,1.0506781993885594,1.0515011056526589,1.0506781993885594,1.0555818315220487,1.0373597473712328,1.0315910810774476,1.0277113481115516,1.0194197939203695,1.0369083092866016,1.0410576759121302,1.0315596504342046,1.0121081265900478,1.0360972958512373
2016-01-27,1.0553171958016276,1.0553171958016276,1.0561437353943806,1.0553171958016276,1.0594998134944724,1.0368666695361124,1.0415578602027422,1.0303981144431467,1.022759494718836,1.0389810475205332,1.0414286255832113,1.0335595144973084,1.0203383064852025,1.0381752511439046
2016-01-28,1.0641859970897687,1.0641859970897687,1.065019482855136,1.0641859970897687,1.068202078782598,1.0430312566331725,1.0491688567857589,1.0309490889229018,1.0290223829399368,1.05037422277295,1.0566516460319564,1.0402767831515487,1.0211510671666164,1.038831087213557
2016-01-29,1.0514927057722812,1.0514927057722812,1.052316249969485,1.0514927057722812,1.055071204729163,1.0293002299339749,1.0305976237686798,1.0154093664967674,1.0155398229719428,1.028773171844202,1.039053979321644,1.0230217329549496,1.0031826683355178,1.0194338461635097
2016-02-01,1.0530270118491054,1.0530270118491054,1.0538517577368767,1.0530270118491054,1.0544696531994022,1.0246674542736418,1.0309524113676014,1.0158769883255316,1.01324898889433,1.027530570784115,1.0420202318774259,1.0249792590319318,1.0041465568488275,1.0176917719487344
2016-02-02,1.0613790955935867,1.0613790955935867,1.0622103829533667,1.0613790955935867,1.0628655769248223,1.0299742953527262,1.0419081826678307,1.0310863658074523,1.0210867668102002,1.0383145572726273,1.0504594639060707,1.0318260674660966,1.0136148105492,1.0265629033927621
2016-02-03,1.0522074022769023,1.0522074022769023,1.0530315062346787,1.0522074022769023,1.0526527812976192,1.0289166382394703,1.0348905837548352,1.0294861197677192,1.0173133317065517,1.0411025958033082,1.048893284132727,1.0205501997919804,1.0146514361942203,1.0271937172919592
