Model,Strategy,Rolling Window,Final Cumulative Return
chronos_t5,LONG_SHORT,512,1.112593624030905
NN3,LONG_SHORT,512,1.027819633991874
NN2,LONG_SHORT,512,0.9944441598295791
timefm,LONG_SHORT,512,0.6145470334549887
unit2ts,SHORT_ONLY,5,3.6635428400609074e-10
timefm,SHORT_ONLY,5,1.4327064393631248e-13
NN2,SHORT_ONLY,5,4.9609419428084824e-14
OLS,SHORT_ONLY,5,4.8255826860889524e-14
Ridge,SHORT_ONLY,5,4.8255826860889524e-14
PLS,SHORT_ONLY,5,4.8255826860889524e-14
PCR,SHORT_ONLY,5,4.8255826860889524e-14
Lasso,SHORT_ONLY,5,4.525551864137421e-14
chronos_t5,SHORT_ONLY,5,4.888353346411293e-16
NN1,SHORT_ONLY,5,1.4998822298368713e-16
NN4,SHORT_ONLY,5,6.350963431039532e-17
RF,SHORT_ONLY,5,5.2077606997785213e-17
NN3,SHORT_ONLY,5,4.0538347617352603e-17
NN5,SHORT_ONLY,5,2.9545834383161567e-18
unit2ts,SHORT_ONLY,21,2.3189326145607565e-09
timefm,SHORT_ONLY,21,8.344781683099868e-12
OLS,SHORT_ONLY,21,7.266819740354539e-14
Ridge,SHORT_ONLY,21,7.266819740354539e-14
PLS,SHORT_ONLY,21,7.266819740354539e-14
Lasso,SHORT_ONLY,21,6.837147943218384e-14
chronos_t5,SHORT_ONLY,21,1.6192196905605403e-14
PCR,SHORT_ONLY,21,6.763361332614219e-15
NN4,SHORT_ONLY,21,3.2270203806465923e-15
NN3,SHORT_ONLY,21,3.786018575081843e-16
NN1,SHORT_ONLY,21,1.7255315583297444e-16
NN5,SHORT_ONLY,21,1.3601173370111813e-16
RF,SHORT_ONLY,21,5.833665143750932e-17
NN2,SHORT_ONLY,21,5.2914004774409323e-17
timefm,SHORT_ONLY,252,1.334107185215186e-09
unit2ts,SHORT_ONLY,252,5.609802230393608e-10
chronos_t5,SHORT_ONLY,252,1.175057390905709e-13
OLS,SHORT_ONLY,252,6.0702249920624e-14
Ridge,SHORT_ONLY,252,6.0702249920624e-14
PLS,SHORT_ONLY,252,6.0702249920624e-14
Lasso,SHORT_ONLY,252,6.061363212511119e-14
NN5,SHORT_ONLY,252,2.7739160166737806e-14
PCR,SHORT_ONLY,252,5.508425659506271e-15
NN4,SHORT_ONLY,252,1.8204314975447e-15
NN2,SHORT_ONLY,252,4.453582764597536e-16
RF,SHORT_ONLY,252,2.281499520903017e-16
NN3,SHORT_ONLY,252,5.5104177193835864e-17
NN1,SHORT_ONLY,252,8.944408374177577e-18
timefm,SHORT_ONLY,512,2.0281672809762405e-09
